subject,condition,corrugator_max_amp_min,corrugator_max_amp_median,corrugator_max_amp_max,corrugator_rms_min,corrugator_rms_median,corrugator_rms_max,zygomaticus_max_amp_min,zygomaticus_max_amp_median,zygomaticus_max_amp_max,zygomaticus_rms_min,zygomaticus_rms_median,zygomaticus_rms_max,corrugator_all_max_amps,corrugator_all_rms_amps,zygomaticus_all_max_amps,zygomaticus_all_rms_amps
S008,baseline,0.0909423828125,0.125732421875,0.751953125,0.01389559401811742,0.024129252077279596,0.10408827632480205,0.0811767578125,0.0823974609375,0.147705078125,0.008828668366648487,0.01018318081125736,0.012260464642724437,"[np.float64(0.125732421875), np.float64(0.0909423828125), np.float64(0.751953125)]","[np.float64(0.024129252077279596), np.float64(0.01389559401811742), np.float64(0.10408827632480205)]","[np.float64(0.0823974609375), np.float64(0.147705078125), np.float64(0.0811767578125)]","[np.float64(0.008828668366648487), np.float64(0.012260464642724437), np.float64(0.01018318081125736)]"
S009,baseline,0.04364013671875,0.06500244140625,0.0689697265625,0.008374667351436316,0.01220662993725097,0.012749075756162884,0.01556396484375,0.01953125,0.07476806640625,0.004424051106540597,0.004619670902001234,0.006019779294279549,"[np.float64(0.0689697265625), np.float64(0.04364013671875), np.float64(0.06500244140625)]","[np.float64(0.012749075756162884), np.float64(0.008374667351436316), np.float64(0.01220662993725097)]","[np.float64(0.01953125), np.float64(0.07476806640625), np.float64(0.01556396484375)]","[np.float64(0.004424051106540597), np.float64(0.006019779294279549), np.float64(0.004619670902001234)]"
S012,baseline,0.05401611328125,0.05889892578125,0.07843017578125,0.008936540100262206,0.010620263197322672,0.012967405536775284,0.11749267578125,0.2960205078125,0.41748046875,0.023577727006987455,0.028633293437951943,0.032332604665995704,"[np.float64(0.05889892578125), np.float64(0.05401611328125), np.float64(0.07843017578125)]","[np.float64(0.008936540100262206), np.float64(0.010620263197322672), np.float64(0.012967405536775284)]","[np.float64(0.2960205078125), np.float64(0.11749267578125), np.float64(0.41748046875)]","[np.float64(0.028633293437951943), np.float64(0.023577727006987455), np.float64(0.032332604665995704)]"
S019,baseline,0.06866455078125,0.08514404296875,0.08697509765625,0.013312346853799128,0.017711114606573347,0.019725489823287423,0.030517578125,0.05462646484375,0.1385498046875,0.00606908087221302,0.00847352472271309,0.017179413811505923,"[np.float64(0.08697509765625), np.float64(0.08514404296875), np.float64(0.06866455078125)]","[np.float64(0.019725489823287423), np.float64(0.017711114606573347), np.float64(0.013312346853799128)]","[np.float64(0.1385498046875), np.float64(0.030517578125), np.float64(0.05462646484375)]","[np.float64(0.017179413811505923), np.float64(0.00847352472271309), np.float64(0.00606908087221302)]"
S026,baseline,0.062255859375,0.09063720703125,0.18218994140625,0.010646316396129537,0.013054216783325181,0.038321870423164026,0.047607421875,0.05889892578125,0.113525390625,0.008819289681164747,0.010540122060202448,0.0191434313215482,"[np.float64(0.18218994140625), np.float64(0.09063720703125), np.float64(0.062255859375)]","[np.float64(0.038321870423164026), np.float64(0.013054216783325181), np.float64(0.010646316396129537)]","[np.float64(0.113525390625), np.float64(0.047607421875), np.float64(0.05889892578125)]","[np.float64(0.0191434313215482), np.float64(0.010540122060202448), np.float64(0.008819289681164747)]"
S034,baseline,0.0762939453125,0.0799560546875,0.09307861328125,0.014762589405000654,0.017636664190873324,0.019643671261571655,0.023193359375,0.02899169921875,0.13458251953125,0.004557616131449124,0.0062412513656393154,0.017030588692766357,"[np.float64(0.09307861328125), np.float64(0.0799560546875), np.float64(0.0762939453125)]","[np.float64(0.019643671261571655), np.float64(0.017636664190873324), np.float64(0.014762589405000654)]","[np.float64(0.13458251953125), np.float64(0.02899169921875), np.float64(0.023193359375)]","[np.float64(0.017030588692766357), np.float64(0.0062412513656393154), np.float64(0.004557616131449124)]"
S036,baseline,0.05126953125,0.145263671875,0.328369140625,0.010874698636795726,0.021116468328408484,0.03073915244222969,0.03692626953125,0.04241943359375,0.0457763671875,0.005970455895803117,0.006006846308059683,0.008387470847717312,"[np.float64(0.05126953125), np.float64(0.328369140625), np.float64(0.145263671875)]","[np.float64(0.010874698636795726), np.float64(0.03073915244222969), np.float64(0.021116468328408484)]","[np.float64(0.04241943359375), np.float64(0.03692626953125), np.float64(0.0457763671875)]","[np.float64(0.006006846308059683), np.float64(0.005970455895803117), np.float64(0.008387470847717312)]"
S045,baseline,0.0238037109375,0.030517578125,0.06378173828125,0.005471367720384861,0.005902657388802695,0.008945553289112831,0.01922607421875,0.037841796875,0.03875732421875,0.005323583982079751,0.0054287872322816315,0.008823471003036973,"[np.float64(0.06378173828125), np.float64(0.030517578125), np.float64(0.0238037109375)]","[np.float64(0.008945553289112831), np.float64(0.005902657388802695), np.float64(0.005471367720384861)]","[np.float64(0.03875732421875), np.float64(0.01922607421875), np.float64(0.037841796875)]","[np.float64(0.008823471003036973), np.float64(0.005323583982079751), np.float64(0.0054287872322816315)]"
S049,baseline,0.0531005859375,0.0543212890625,0.0634765625,0.007771913484478848,0.00834224163933831,0.01324857732044667,0.08026123046875,0.084228515625,0.14892578125,0.015254740368631217,0.015758636130622564,0.02384636778635123,"[np.float64(0.0634765625), np.float64(0.0531005859375), np.float64(0.0543212890625)]","[np.float64(0.01324857732044667), np.float64(0.007771913484478848), np.float64(0.00834224163933831)]","[np.float64(0.14892578125), np.float64(0.08026123046875), np.float64(0.084228515625)]","[np.float64(0.02384636778635123), np.float64(0.015254740368631217), np.float64(0.015758636130622564)]"
S051,baseline,0.018310546875,0.02532958984375,0.086669921875,0.004645153336054895,0.00540114061276606,0.013451309662577498,0.009765625,0.01129150390625,0.0164794921875,0.005611698032220353,0.005624119736088277,0.00566749550929226,"[np.float64(0.02532958984375), np.float64(0.018310546875), np.float64(0.086669921875)]","[np.float64(0.00540114061276606), np.float64(0.004645153336054895), np.float64(0.013451309662577498)]","[np.float64(0.0164794921875), np.float64(0.01129150390625), np.float64(0.009765625)]","[np.float64(0.00566749550929226), np.float64(0.005624119736088277), np.float64(0.005611698032220353)]"
S052,baseline,0.00885009765625,0.010986328125,0.0115966796875,0.002600950002882007,0.003002676914400253,0.0030302572074748088,0.0128173828125,0.0140380859375,0.03570556640625,0.005746233059966232,0.0057971358806073615,0.006872370905371398,"[np.float64(0.010986328125), np.float64(0.0115966796875), np.float64(0.00885009765625)]","[np.float64(0.003002676914400253), np.float64(0.0030302572074748088), np.float64(0.002600950002882007)]","[np.float64(0.03570556640625), np.float64(0.0128173828125), np.float64(0.0140380859375)]","[np.float64(0.006872370905371398), np.float64(0.0057971358806073615), np.float64(0.005746233059966232)]"
S057,baseline,0.08514404296875,0.12237548828125,0.15106201171875,0.01258919675811541,0.01839717311928615,0.02362700284530253,0.02105712890625,0.078125,0.079345703125,0.004055787280952974,0.009305859459899151,0.011235941921541471,"[np.float64(0.15106201171875), np.float64(0.08514404296875), np.float64(0.12237548828125)]","[np.float64(0.01258919675811541), np.float64(0.01839717311928615), np.float64(0.02362700284530253)]","[np.float64(0.079345703125), np.float64(0.02105712890625), np.float64(0.078125)]","[np.float64(0.011235941921541471), np.float64(0.004055787280952974), np.float64(0.009305859459899151)]"
S068,baseline,0.013427734375,0.01556396484375,0.02044677734375,0.0028618004314690743,0.0033178025463846367,0.003365070538288084,0.0323486328125,0.032958984375,0.03662109375,0.006584613559503822,0.008377318665348524,0.008463837239410632,"[np.float64(0.01556396484375), np.float64(0.02044677734375), np.float64(0.013427734375)]","[np.float64(0.003365070538288084), np.float64(0.0033178025463846367), np.float64(0.0028618004314690743)]","[np.float64(0.032958984375), np.float64(0.0323486328125), np.float64(0.03662109375)]","[np.float64(0.008463837239410632), np.float64(0.008377318665348524), np.float64(0.006584613559503822)]"
S069,baseline,0.04669189453125,0.048828125,0.04913330078125,0.010014031594416675,0.010904984592736661,0.01122541770128685,0.02685546875,0.02838134765625,0.05859375,0.00577554256715371,0.006109248711239274,0.009158447732585505,"[np.float64(0.048828125), np.float64(0.04913330078125), np.float64(0.04669189453125)]","[np.float64(0.010014031594416675), np.float64(0.010904984592736661), np.float64(0.01122541770128685)]","[np.float64(0.05859375), np.float64(0.02685546875), np.float64(0.02838134765625)]","[np.float64(0.009158447732585505), np.float64(0.006109248711239274), np.float64(0.00577554256715371)]"
S070,baseline,0.05218505859375,0.052490234375,0.223388671875,0.009967800188556577,0.011128594620084942,0.027586530128623443,0.0384521484375,0.07720947265625,0.15655517578125,0.007820001815127384,0.011908312488746329,0.018070429534384685,"[np.float64(0.052490234375), np.float64(0.05218505859375), np.float64(0.223388671875)]","[np.float64(0.011128594620084942), np.float64(0.009967800188556577), np.float64(0.027586530128623443)]","[np.float64(0.15655517578125), np.float64(0.0384521484375), np.float64(0.07720947265625)]","[np.float64(0.018070429534384685), np.float64(0.007820001815127384), np.float64(0.011908312488746329)]"
S072,baseline,0.04180908203125,0.0433349609375,0.0439453125,0.0069873405684876735,0.007982655878559628,0.008557388475864599,0.037841796875,0.04058837890625,0.05645751953125,0.007485258969047172,0.008308591534175317,0.00904090810494676,"[np.float64(0.04180908203125), np.float64(0.0433349609375), np.float64(0.0439453125)]","[np.float64(0.0069873405684876735), np.float64(0.007982655878559628), np.float64(0.008557388475864599)]","[np.float64(0.04058837890625), np.float64(0.037841796875), np.float64(0.05645751953125)]","[np.float64(0.008308591534175317), np.float64(0.007485258969047172), np.float64(0.00904090810494676)]"
S076,baseline,0.1275634765625,0.2716064453125,0.322265625,0.023834610079984823,0.042482367725240465,0.04363296247079155,0.02532958984375,0.029296875,0.07293701171875,0.0061277495885881305,0.006177590054018116,0.0096417654767897,"[np.float64(0.2716064453125), np.float64(0.1275634765625), np.float64(0.322265625)]","[np.float64(0.04363296247079155), np.float64(0.023834610079984823), np.float64(0.042482367725240465)]","[np.float64(0.07293701171875), np.float64(0.02532958984375), np.float64(0.029296875)]","[np.float64(0.0096417654767897), np.float64(0.006177590054018116), np.float64(0.0061277495885881305)]"
S082,baseline,0.04364013671875,0.0836181640625,0.1092529296875,0.004399628332341586,0.00600209932555752,0.016789571704660094,0.048828125,0.189208984375,0.33843994140625,0.007151270758304163,0.008217927655899609,0.022514570306804954,"[np.float64(0.1092529296875), np.float64(0.04364013671875), np.float64(0.0836181640625)]","[np.float64(0.016789571704660094), np.float64(0.00600209932555752), np.float64(0.004399628332341586)]","[np.float64(0.048828125), np.float64(0.33843994140625), np.float64(0.189208984375)]","[np.float64(0.007151270758304163), np.float64(0.022514570306804954), np.float64(0.008217927655899609)]"
S087,baseline,0.072021484375,0.07537841796875,0.07720947265625,0.012900959192953608,0.014376690482689438,0.014803851929388349,0.01922607421875,0.04058837890625,0.08026123046875,0.004075594851600675,0.004401350029369602,0.006974481856548558,"[np.float64(0.07537841796875), np.float64(0.07720947265625), np.float64(0.072021484375)]","[np.float64(0.014376690482689438), np.float64(0.014803851929388349), np.float64(0.012900959192953608)]","[np.float64(0.08026123046875), np.float64(0.01922607421875), np.float64(0.04058837890625)]","[np.float64(0.006974481856548558), np.float64(0.004401350029369602), np.float64(0.004075594851600675)]"
S095,baseline,0.05828857421875,0.36346435546875,1.0797119140625,0.011754944854012298,0.06196250607286288,0.16856545063632186,0.030517578125,0.04058837890625,0.0653076171875,0.005120193930514069,0.005365277522427064,0.008024652150486745,"[np.float64(0.05828857421875), np.float64(1.0797119140625), np.float64(0.36346435546875)]","[np.float64(0.011754944854012298), np.float64(0.16856545063632186), np.float64(0.06196250607286288)]","[np.float64(0.04058837890625), np.float64(0.030517578125), np.float64(0.0653076171875)]","[np.float64(0.005365277522427064), np.float64(0.005120193930514069), np.float64(0.008024652150486745)]"
S107,baseline,0.01373291015625,0.0372314453125,0.05401611328125,0.0029601688972700317,0.007445113292482819,0.01055356405210145,0.03204345703125,0.04241943359375,0.05279541015625,0.006762735249645867,0.007546333132614979,0.008249592866749658,"[np.float64(0.05401611328125), np.float64(0.0372314453125), np.float64(0.01373291015625)]","[np.float64(0.01055356405210145), np.float64(0.007445113292482819), np.float64(0.0029601688972700317)]","[np.float64(0.04241943359375), np.float64(0.05279541015625), np.float64(0.03204345703125)]","[np.float64(0.007546333132614979), np.float64(0.008249592866749658), np.float64(0.006762735249645867)]"
S110,baseline,0.08758544921875,0.08880615234375,0.10040283203125,0.016474207277936637,0.01792976098887025,0.019462757416387495,0.02349853515625,0.0238037109375,0.0244140625,0.006562644639010716,0.006578336323811797,0.007178693824013893,"[np.float64(0.08758544921875), np.float64(0.08880615234375), np.float64(0.10040283203125)]","[np.float64(0.01792976098887025), np.float64(0.019462757416387495), np.float64(0.016474207277936637)]","[np.float64(0.02349853515625), np.float64(0.0244140625), np.float64(0.0238037109375)]","[np.float64(0.006562644639010716), np.float64(0.007178693824013893), np.float64(0.006578336323811797)]"
S114,baseline,0.09185791015625,0.15869140625,0.1708984375,0.017037644367068165,0.021439329738979516,0.023774201906722307,0.0311279296875,0.0439453125,0.13763427734375,0.008864587957326458,0.008925910610705643,0.013388889305413779,"[np.float64(0.1708984375), np.float64(0.09185791015625), np.float64(0.15869140625)]","[np.float64(0.023774201906722307), np.float64(0.017037644367068165), np.float64(0.021439329738979516)]","[np.float64(0.13763427734375), np.float64(0.0311279296875), np.float64(0.0439453125)]","[np.float64(0.013388889305413779), np.float64(0.008864587957326458), np.float64(0.008925910610705643)]"
S126,baseline,0.023193359375,0.0445556640625,0.0640869140625,0.006808516135897765,0.007759157103637366,0.012308240559170618,0.01983642578125,0.0592041015625,0.068359375,0.00560922051857239,0.006735304160972456,0.007763454746113093,"[np.float64(0.0445556640625), np.float64(0.0640869140625), np.float64(0.023193359375)]","[np.float64(0.007759157103637366), np.float64(0.012308240559170618), np.float64(0.006808516135897765)]","[np.float64(0.0592041015625), np.float64(0.068359375), np.float64(0.01983642578125)]","[np.float64(0.006735304160972456), np.float64(0.007763454746113093), np.float64(0.00560922051857239)]"
S129,baseline,0.03326416015625,0.04486083984375,0.14862060546875,0.006401920192875175,0.007094807922988935,0.013461287798339184,0.0164794921875,0.06134033203125,0.06378173828125,0.004958606870870389,0.00644976577656949,0.009102165812032603,"[np.float64(0.03326416015625), np.float64(0.14862060546875), np.float64(0.04486083984375)]","[np.float64(0.006401920192875175), np.float64(0.013461287798339184), np.float64(0.007094807922988935)]","[np.float64(0.06378173828125), np.float64(0.06134033203125), np.float64(0.0164794921875)]","[np.float64(0.009102165812032603), np.float64(0.00644976577656949), np.float64(0.004958606870870389)]"
S134,baseline,0.030517578125,0.1019287109375,0.10955810546875,0.00695237852225678,0.01120427560085084,0.016995448040822866,0.04150390625,0.123291015625,0.1934814453125,0.00928791397652677,0.014472298212294506,0.015229429762829441,"[np.float64(0.10955810546875), np.float64(0.1019287109375), np.float64(0.030517578125)]","[np.float64(0.016995448040822866), np.float64(0.01120427560085084), np.float64(0.00695237852225678)]","[np.float64(0.1934814453125), np.float64(0.123291015625), np.float64(0.04150390625)]","[np.float64(0.015229429762829441), np.float64(0.014472298212294506), np.float64(0.00928791397652677)]"
